Mes_Ano;Ferrovia;Mercadoria_ANTT;Estacao_Origem;UF_Origem;Estacao_Destino;UF_Destino;TU;TKU
01/2023;EFC;Cobre;Paraupebas;PA;Ponta da Madeira Cobre;MA;36.530;31.854.160
01/2023;EFC;Ferro Gusa;Açailândia;MA;Ponta da Madeira Pêra do Píer;MA;55.521;29.187.389
01/2023;EFC;Ferro Gusa;Marabá;PA;Ponta da Madeira Pêra do Píer;MA;11.071;8.310.998
01/2023;EFC;Gasolina;Itaqui Base Combustível;MA;Açailândia;MA;7.544;3.945.512
01/2023;EFC;Gasolina;Itaqui Base Combustível;MA;Marabá;PA;9.466;7.080.568
01/2023;EFC;Manganês;Marabá;PA;Ponta da Madeira Pêra do Píer;MA;27.748;20.830.423
01/2023;EFC;Minério de Ferro;Açailândia;MA;Ponta da Madeira;MA;66.623;34.177.599
01/2023;EFC;Minério de Ferro;Carajás;PA;Açailândia;MA;169.733;64.159.074
01/2023;EFC;Minério de Ferro;Carajás;PA;Marabá;PA;9.654;1.477.062
01/2023;EFC;Minério de Ferro;Carajás;PA;Ponta da Madeira;MA;6.856.727;6.109.343.757
01/2023;EFC;Minério de Ferro;Marabá;PA;Ponta da Madeira;MA;46.320;34.184.160
01/2023;EFC;Minério de Ferro;Serra Leste;PA;Ponta da Madeira;MA;337.139;280.277.809
01/2023;EFC;Minério de Ferro;Serra Sul;PA;Ponta da Madeira;MA;4.779.082;4.522.856.296
01/2023;EFC;Óleo Diesel;Itaqui Base Combustível;MA;Açailândia;MA;21.664;11.330.272
01/2023;EFC;Óleo Diesel;Itaqui Base Combustível;MA;Marabá;PA;34.047;25.467.156
01/2023;EFPO;Cimento acondicionado;Agrária;PR;Cascavel;PR;4.360;1.049.007
01/2023;EFPO;Soja;Cascavel;PR;Agrária;PR;2.109;507.419
01/2023;EFVM;Carvão Mineral;Tubarão;ES;Bela Vista de Minas;MG;5.185;2.716.390
01/2023;EFVM;Carvão Mineral;Tubarão;ES;Ouro Branco;MG;108.416;72.733.692
01/2023;EFVM;Celulose;Aracruz;ES;Frederico Selow;MG;120;44.468
01/2023;EFVM;Celulose;Frederico Selow;MG;Aracruz;ES;97.944;36.295.401
01/2023;EFVM;Cloreto de Potássio;Tubarão;ES;Brejo Alegre;MG;14.552;20.458.786
01/2023;EFVM;Cloreto de Potássio;Tubarão;ES;Eng. Adelmar;MG;4.474;4.323.652
01/2023;EFVM;Contêiner Cheio de 20 Pés;Tubarão;ES;Nova Granja;MG;4.832;3.290.408
01/2023;EFVM;Coque;Tubarão;ES;Prudente de Morais;MG;35.919;25.880.429
01/2023;EFVM;Coque Metalúrgico;Tubarão;ES;Bela Vista de Minas;MG;20.034;10.495.691
01/2023;EFVM;Coque Metalúrgico;Tubarão;ES;Intendente Câmara;MG;108.508;46.996.006
01/2023;EFVM;Coque Metalúrgico;Tubarão;ES;Ouro Branco;MG;9.880;6.628.254
01/2023;EFVM;Ferro Gusa;Aroaba;ES;Pedro Nolasco;ES;9.980;240.247
01/2023;EFVM;Ferro Gusa;Funil;MG;Pedro Nolasco;ES;19.508;12.505.054
01/2023;EFVM;Ferro Gusa;Funil;MG;Tubarão;ES;5.127;3.274.249
01/2023;EFVM;Fosfato;Tubarão;ES;Brejo Alegre;MG;28.064;39.455.399
01/2023;EFVM;Minério de Ferro;Brucutu;MG;Tubarão;ES;1.644.105;960.178.692
01/2023;EFVM;Minério de Ferro;Capitão Eduardo;MG;Intendente Câmara;MG;76.218;16.531.530
01/2023;EFVM;Minério de Ferro;Capitão Eduardo;MG;Mário Carvalho;MG;14.329;2.909.847
01/2023;EFVM;Minério de Ferro;Conceição;MG;Tubarão;ES;1.386.912;753.804.694
01/2023;EFVM;Minério de Ferro;Fazendão;MG;Tubarão;ES;903.271;536.983.769
01/2023;EFVM;Minério de Ferro;João Paulo;MG;Tubarão;ES;803.055;435.316.836
01/2023;EFVM;Minério de Ferro;Mário Carvalho;MG;Intendente Câmara;MG;19.984;276.258
01/2023;EFVM;Minério de Ferro;Mário Carvalho;MG;Tubarão;ES;104.299;46.614.873
01/2023;EFVM;Minério de Ferro;Ouro Branco;MG;Tubarão;ES;234.220;157.132.575
01/2023;EFVM;Minério de Ferro;Pátio 206;MG;Tubarão;ES;17.677;10.553.698
01/2023;EFVM;Minério de Ferro;Pedro Nolasco;ES;Intendente Câmara;MG;2.520;1.097.470
01/2023;EFVM;Minério de Ferro;Piraqueaçu;ES;Tubarão;ES;14.500;1.053.193
01/2023;EFVM;Minério de Ferro;Timbopeba;MG;Piraqueaçu;ES;25.648;13.806.497
01/2023;EFVM;Minério de Ferro;Timbopeba;MG;Tubarão;ES;481.067;293.903.549
01/2023;EFVM;Minério de Ferro;Tubarão;ES;Intendente Câmara;MG;53.211;23.046.269
01/2023;EFVM;Minério de Ferro;Tubarão;ES;Pedro Nolasco;ES;5.643;153.573
01/2023;EFVM;Minério de Ferro;Tubarão;ES;Piraqueaçu;ES;8.549;620.948
01/2023;EFVM;Outros - adubos e Fertilizantes;Tubarão;ES;Brejo Alegre;MG;2.229;3.133.767
01/2023;EFVM;Outros - adubos e Fertilizantes;Tubarão;ES;Eng. Adelmar;MG;2.819;2.724.267
01/2023;EFVM;Prd. Siderúrgicos - Bobina - BF;Intendente Câmara;MG;Capitão Eduardo;MG;19.636;4.259.006
01/2023;EFVM;Prd. Siderúrgicos - Bobina - BF;Intendente Câmara;MG;Carreira Comprida;MG;10.330;2.308.031
01/2023;EFVM;Prd. Siderúrgicos - Bobina - BF;Intendente Câmara;MG;Embiruçu;MG;33.898;8.452.972
01/2023;EFVM;Prd. Siderúrgicos - Bobina - BF;Intendente Câmara;MG;Lafaiete Bandeira;MG;25.953;5.781.415
01/2023;EFVM;Prd. Siderúrgicos - Bobina - BF;Intendente Câmara;MG;Tubarão;ES;10.309;4.464.941
01/2023;EFVM;Prd. Siderúrgicos - Bobina - BF;Mário Carvalho;MG;Capitão Eduardo;MG;2.329;472.959
01/2023;EFVM;Prd. Siderúrgicos - Bobina - BF;Tubarão;ES;Intendente Câmara;MG;514;222.619
01/2023;EFVM;Prd. Siderúrgicos - Bobina - BF;Tubarão;ES;Lafaiete Bandeira;MG;17.506;11.481.763
01/2023;EFVM;Prd. Siderúrgicos - Bobina - BF;Tubarão;ES;Nova Granja;MG;3.139;2.137.539
